scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments,,
CC,25,B3,5724,F,,FALSE,FALSE,0,4,0,0,6,No,FALSE,,1,2,No Card,,,
AW,25,R1,836,C,3,FALSE,FALSE,10,8,2,7,0,No,FALSE,"1,2,6",4,,No Card,"Pretty good shooting into the hub while intaking and moving, as long as moving slow",,
EC,25,B1,2068,C,3,FALSE,FALSE,0,6,0,0,0,No,FALSE,"4,2",1,,No Card,Seems intake is malfunctioning also kind of defended against his own team,,
AM,25,R3,1262,M,,FALSE,FALSE,0,7,1,2,0,No,FALSE,6,3,,No Card,,,
HR,25,R2,5338,F,3,FALSE,FALSE,7,5,0,7,0,No,FALSE,6,5,,No Card,,,
CC,26,B3,3939,C,3,FALSE,FALSE,10,6,0,4,8,No,FALSE,"2,6",4,,No Card,,,
EC,26,B1,1629,F,3,FALSE,FALSE,20,6,1,3,8,No,FALSE,"1,2",1,,No Card,Intake stopped,,
JD,26,R1,10224,M,,FALSE,FALSE,3,0,5,5,2,No,FALSE,6,3,,No Card,,,
HR,26,R2,2377,F,3,FALSE,FALSE,4,8,2,2,5,No,FALSE,"2,1,6",1,,No Card,Slow shooter,,
AZ,26,B2,11425,M,,FALSE,FALSE,2,3,5,0,1,No,FALSE,"4,5",2,,No Card,,,
AM,26,R3,4472,,3,FALSE,FALSE,4,8,0,2,6,No,FALSE,"1,2,6",4,,No Card,,,
CC,27,B3,9033,C,3,FALSE,FALSE,0,9,0,2,3,No,FALSE,"2,3",3,,No Card,,,
AZ,27,B2,401,F,3,TRUE,FALSE,14,0,3,3,9,No,FALSE,1,4,,No Card,"Energy issues, wield driving at the end, the hopper is bent",,
EC,27,B1,620,M,,FALSE,FALSE,0,6,0,3,7,No,FALSE,"2,6",4,,No Card,No auto and somehow got out weighted by 888,,
JD,27,R1,1908,C,3,FALSE,FALSE,5,3,2,6,0,No,FALSE,"2,6,1",5,,No Card,Can shoot while intaking ,,
`HR,27,R2,888,F,3,FALSE,FALSE,12,9,1,0,0,No,FALSE,"2,5",4,,No Card,,,
AM,27,R3,2537,M,,FALSE,FALSE,5,10,0,4,0,No,FALSE,"2,6",3,,No Card,,,
