"scout","match","robot","team","start_pos","auto_type","auto_bump","auto_climb","auto_cycles","teleop_trench","teleop_bump","num_cycles","num_cycles_tenths","endgame_climb","climb_less_than_5","inactive_strat","driver_rating","problems","card","comments","auto_climb.1","endgame_climb.1"
"AZ",7,"B1",5913,"C",3,TRUE,FALSE,14,8,2,3,6,"No",FALSE,16,4,NA,"No Card","Really fast bps heavy throughput, opponents paled strong defense and driver couldn41391t get around for a bit",NA,NA
"BP",7,"B2",484,"F",5,TRUE,FALSE,17,5,1,4,7,"No",FALSE,126,4,NA,"No Card","Good fast empty in auto",NA,NA
"LJ",7,"B3",4020,"M",21,FALSE,FALSE,8,3,2,4,1,"No",FALSE,1326,4,NA,"No Card","Had minor drive issues with about a minute left. Likes far arc corner and trench shot, near full field passing from edge of NZ",NA,NA
"FL",7,"R1",5705,"M",NA,FALSE,FALSE,0,6,0,0,0,"No",FALSE,45,1,NA,"No Card","Super slow",NA,NA
"HR",7,"R2",3753,"F",3,FALSE,FALSE,10,8,0,6,6,"No",FALSE,126,3,NA,"No Card","Solo shooter",NA,NA
"CR",7,"R3",3082,"C",5,FALSE,FALSE,10,4,1,1,0,"No",FALSE,45,4,NA,"No Card","Started defending bump immediately after auto",NA,NA
"AZ",8,"B1",1391,"C",3,TRUE,FALSE,0,12,4,6,3,"No",FALSE,213,5,NA,"No Card","3 ball wide fixed hooded shooter, solid bps, can outtake balls onto the bump",NA,NA
"BP",8,"B2",5181,"M",1,FALSE,FALSE,8,6,0,0,5,"No",FALSE,1364,1,NA,"No Card","Not great defense",NA,NA
"LJ",8,"B3",1023,"F",5,FALSE,FALSE,13,10,4,3,1,"No",FALSE,362,4,NA,"No Card","Intake broke with like 5 seconds left. Cleaned up along DS wall, lots of aggressive stealing on their side of the field. SOTM worked for slow movement but jammed a bit at first",NA,NA
"FL",8,"R1",5577,"M",NA,FALSE,FALSE,3,14,0,2,4,"No",FALSE,13,3,NA,"No Card","Slow shooter",NA,NA
"HR",8,"R2",1506,"C",56,TRUE,FALSE,20,8,4,7,4,"No",FALSE,136,5,NA,"No Card","Good throughput and capcity",NA,NA
"CR",8,"R3",51,"F",3,FALSE,FALSE,12,7,1,4,0,"No",FALSE,6,3,NA,"No Card","Hopper broke during endgame",NA,NA
"AZ",9,"B1",3243,"C",3,FALSE,FALSE,16,18,0,5,7,"No",FALSE,31,4,NA,"No Card","Multiple sweeps, 2 ball wide shooter",NA,NA
"BP",9,"B2",2231,"F",5,TRUE,FALSE,18,5,3,5,9,"No",FALSE,16,4,"6","No Card","Good sotm",NA,NA
"LJ",9,"B3",11417,"M",NA,FALSE,FALSE,0,0,2,0,0,"No",FALSE,4,2,NA,"No Card","Tank drive. Played. defense in OZ th.  entire match, could not budge 9496 while they wereshooting.Had a singular questionable block on 9496 when 9496 got stuck on top of them going over the bump, was a long stop with no pin call.",NA,NA
"FL",9,"R1",1533,"M",1,FALSE,FALSE,4,1,3,0,8,"No",FALSE,15,3,NA,"No Card","Possibly a minor dunno why, Def on 2231, lil slow",NA,NA
"HR",9,"R2",10980,"F",34,TRUE,FALSE,10,3,3,3,0,"No",FALSE,16,4,NA,"No Card","Missed some shots when shooting on the move",NA,NA
"CR",9,"R3",9496,"C",56,FALSE,FALSE,18,6,6,6,0,"No",FALSE,32,5,"4","No Card","Pinned on bump",NA,NA
"AZ",10,"B1",7415,"C",4,TRUE,FALSE,11,0,8,5,6,"No",FALSE,46,4,NA,"No Card","It can over do bump and begins to tip over",NA,NA
"BP",10,"B2",6201,"M",NA,FALSE,FALSE,2,6,2,0,0,"No",FALSE,4,1,NA,"No Card","Doing nothing sometimes when opponents were shooting",NA,NA
"LJ",10,"B3",5653,"F",5,FALSE,FALSE,6,14,0,3,7,"No",FALSE,136,3,NA,"No Card","Far passing, at least from edge of NZ. Tried some full field passing but robot didn41391t. shoot. Likes far shots near trench andtheir DS. Occasional inaccurate spray when shooting.",NA,NA
