"scout","match","robot","team","start_pos","auto_type","auto_bump","auto_climb","auto_cycles","teleop_trench","teleop_bump","num_cycles","num_cycles_tenths","endgame_climb","climb_less_than_5","inactive_strat","driver_rating","problems","card","comments","auto_climb.1","endgame_climb.1"
"LJ",14,"B3",4450,"F",5,FALSE,FALSE,0,3,3,1,3,"No",FALSE,6,2,NA,"No Card","Got stuck under trench, couldn41391t start auto routine. Intake struggled a bit, spent a lot. of time meandering i.  NZ. Overshotmany times,shot very slowly. Tower shot. from midfar range, mostly intook from AZ",NA,NA
"FL",14,"R1",8858,"F",3,FALSE,FALSE,8,14,0,3,5,"No",FALSE,63,3,NA,"No Card","slow shooting that isn41391t really accurate",NA,NA
"HR",14,"R2",2556,"F",41,TRUE,FALSE,8,3,1,3,0,"No",FALSE,26,4,NA,"No Card","Got. stuck in neutral zone for a bit, teammate helped them. Somewhat inconsistentaccuracy",NA,NA
"CR",14,"R3",9572,"C",56,TRUE,FALSE,15,8,8,8,0,"No",FALSE,1346,5,NA,"No Card","Very short cycle time",NA,NA
"AZ",15,"B1",4607,"C",3,FALSE,FALSE,14,10,0,4,7,"No",FALSE,NA,4,NA,"No Card","slow shooting that isn41391t really accurate",NA,NA
"BP",15,"B2",8069,"C",NA,FALSE,FALSE,2,7,5,1,8,"No",FALSE,64,2,NA,"No Card","Where is their hopper? Also low bps",NA,NA
"LJ",15,"B3",2582,"F",5,TRUE,FALSE,3,2,1,0,8,"No",FALSE,16,3,"1","No Card","Spent more than half the match dead, revived a little after halfway through. Passed a lot of fuel under trench by reversing intake, was a very yoinkable cache. Died again in last 30 seconds, but intook a lot while they were moving and fairly accurate",NA,NA
"FL",15,"R1",1756,"M",31,TRUE,FALSE,9,9,3,4,9,"No",FALSE,316,5,NA,"No Card","Good auto can pass from OZ shoots while moving very goood",NA,NA
"HR",15,"R2",449,"F",34,TRUE,FALSE,20,10,8,9,0,"No",FALSE,126,5,NA,"No Card","Bum ahh robot",NA,NA
"CR",15,"R3",484,"C",56,TRUE,FALSE,2,10,2,5,0,"No",FALSE,136,4,NA,"No Card","Their net sometimes gets caught on trench",NA,NA
