team,match_key,auto_fuel_pre_epa,tele_fuel_pre_epa,auto_fuel_recent_epa,tele_fuel_recent_epa
9572,2026gal_qm2,20.91,115.43,31.35,131.89
10004,2026chcmp_qm8,9.87,35.29,10.61,51.31
10034,2026gal_qm6,10.52,16.97,14.6,26.39
10224,2026chcmp_qm3,8.26,57.32,11.09,82.23
10449,2026vaale_qm1,3.37,12.31,3.38,3.67
10679,2026chcmp_qm5,5.97,18.74,9.32,43.47
10980,2026gal_qm9,14.93,51.85,30.22,93.28
10991,2026gal_qm1,11.19,30.35,17.36,25.42
11211,2026mdbet_qm6,5,18.23,3.05,21.39
11214,2026gal_qm1,3.05,2.69,1.88,-14.37
11242,2026gal_qm2,8.81,44.99,9.73,46.24
11244,2026gal_qm11,9.63,26.31,7.04,18.28
11318,2026chcmp_qm5,11.84,48.2,12.82,44.06
11415,2026chcmp_qm8,17.81,98.45,21.23,143.18
11417,2026gal_qm9,4.62,29.62,11.4,37.42
11425,2026chcmp_qm7,11.11,23.43,12.72,27.5
