"","key","pct_imp","lambda_opt","address","city","country","end_date","event_code","event_type","event_type_string","first_event_code","first_event_id","gmaps_place_id","gmaps_url","lat","lng","location_name","name","parent_event_key","playoff_type","playoff_type_string","postal_code","short_name","start_date","state_prov","timezone","website","week","year","abbreviation","display_name","key2","pridge_mse"
"1008","2024inpla",7.80864317021179,3.44344344344344,"1 Red Pride Dr","Plainfield","USA","2024-03-24","inpla",1,"District","inpla",NA,NA,NA,NA,NA,"Plainfield HS","FIN District Plainfield Event presented by Carrier",NA,10,"Double Elimination Bracket (8 Alliances)","46168","Plainfield","2024-03-22","IN","America/Indiana/Indianapolis","https://www.firstindianarobotics.org/",3,2024,"fin","FIRST Indiana Robotics","2024fin",181.128396289501
"1009","2024isde1",7.27083612055316,3.44344344344344,"Mishmar HaGvul St 5","Hadera","Israel","2024-02-26","isde1",1,"District","isde1",NA,NA,NA,NA,NA,"Enerbox ","ISR District Event #1",NA,10,"Double Elimination Bracket (8 Alliances)",NA,"ISR #1","2024-02-24","M","Asia/Jerusalem","http://firstisrael.org.il",0,2024,"isr","FIRST Israel","2024isr",211.653216961923
"1010","2024isde2",8.05451235975818,3.96396396396396,"Mishmar HaGvul St 5","Hadera","Israel","2024-02-29","isde2",1,"District","isde2",NA,NA,NA,NA,NA,"Enerbox","ISR District Event #2",NA,10,"Double Elimination Bracket (8 Alliances)",NA,"ISR #2","2024-02-27","M","Asia/Jerusalem","http://firstisrael.org.il",0,2024,"isr","FIRST Israel","2024isr",198.642940047951
"1011","2024isde3",10.184976233084,5.34534534534535,"Mishmar HaGvul St 5","Hadera","Israel","2024-03-05","isde3",1,"District","isde3",NA,NA,NA,NA,NA,"Enerbox","ISR District Event #3",NA,10,"Double Elimination Bracket (8 Alliances)",NA,"ISR #3","2024-03-03","M","Asia/Jerusalem","http://firstisrael.org.il",0,2024,"isr","FIRST Israel","2024isr",217.697666893639
"1012","2024isde4",11.5455135574232,6.04604604604605,"Mishmar HaGvul St 5","Hadera","Israel","2024-03-07","isde4",1,"District","isde4",NA,NA,NA,NA,NA,"Enerbox","ISR District Event #4",NA,10,"Double Elimination Bracket (8 Alliances)",NA,"ISR #4","2024-03-05","M","Asia/Jerusalem","http://firstisrael.org.il",1,2024,"isr","FIRST Israel","2024isr",234.394708001138
"1013","2024ksla",7.13108824574557,3.24324324324324,"5900 Monticello Rd","Shawnee","USA","2024-03-16","ksla",0,"Regional","ksla",NA,NA,NA,NA,NA,"Mill Valley High School","Heartland Regional",NA,10,"Double Elimination Bracket (8 Alliances)","66226","Heartland","2024-03-13","KS","America/Chicago","http://www.kcfirst.org",2,2024,NA,NA,NA,150.32701268965
"1014","2024lake",18.3759780586122,5.22522522522523,"4545 Williams Blvd","Kenner","USA","2024-04-06","lake",0,"Regional","lake",NA,NA,NA,NA,NA,"Pontchartrain Center","Bayou Regional",NA,10,"Double Elimination Bracket (8 Alliances)","70065","Bayou","2024-04-03","LA","America/Chicago","http://www.frcbayouregional.org",5,2024,NA,NA,NA,178.11587681003
"1015","2024mabos",11.0147623493086,6.24624624624625,"101 School Street","Revere","USA","2024-03-24","mabos",1,"District","mabos",NA,NA,NA,NA,NA,"Revere High School","NE District Greater Boston Event",NA,10,"Double Elimination Bracket (8 Alliances)","02151","Greater Boston","2024-03-22","MA","America/New_York","http://www.nefirst.org/",3,2024,"ne","New England","2024ne",206.178296573955
"1016","2024mabri",8.2487908419652,3.98398398398398,"325 Plymouth St","Bridgewater","USA","2024-03-10","mabri",1,"District","mabri",NA,NA,NA,NA,NA,"Adrain Tinsley Center","NE District BSU Event",NA,10,"Double Elimination Bracket (8 Alliances)","02325","BSU","2024-03-08","MA","America/New_York",NA,1,2024,"ne","New England","2024ne",180.748683756434
"1017","2024marea",6.95101125727991,3.22322322322322,"62 Oakland Road","Reading","USA","2024-03-17","marea",1,"District","marea",NA,NA,NA,NA,NA,"Reading Memorial High School","NE District North Shore Event",NA,10,"Double Elimination Bracket (8 Alliances)","01867","North Shore","2024-03-15","MA","America/New_York","http://www.nefirst.org/",2,2024,"ne","New England","2024ne",200.243846985754
"1018","2024mawne",13.5218272148913,7.96796796796797,"1215 Wilbraham Road","Springfield","USA","2024-03-24","mawne",1,"District","mawne",NA,NA,NA,NA,NA,"Western New England University","NE District Western NE Event",NA,10,"Double Elimination Bracket (8 Alliances)","01119","Western NE","2024-03-22","MA","America/New_York","https://nefirst.org/",3,2024,"ne","New England","2024ne",242.429900955413
"1019","2024mawor",10.2208704353807,5.04504504504505,"100 Institute Road","Worcester","USA","2024-03-31","mawor",1,"District","mawor",NA,NA,NA,NA,NA,"Worcester Polytechnic Institute","NE District WPI Event",NA,10,"Double Elimination Bracket (8 Alliances)","01609","WPI","2024-03-29","MA","America/New_York","https://nefirst.org/",4,2024,"ne","New England","2024ne",207.358852908165
